               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.092797,            0.063065,            0.028688,            0.017486,             0.37678,            0.019456,           0.0055444,            0.093335,            0.047456,            0.032938,            0.008119,            0.008119,            0.008119
                  59,            0.095326,            0.069702,            0.029773,             0.02559,             0.33876,            0.025775,           0.0070635,            0.092719,            0.047091,            0.032204,            0.008086,            0.008086,            0.008086
                  60,            0.094185,            0.074435,            0.028769,             0.02559,             0.33876,            0.025775,           0.0070635,            0.092719,            0.047226,            0.032204,            0.008053,            0.008053,            0.008053
                  61,            0.093304,            0.069434,            0.028565,             0.01172,             0.19549,            0.011008,           0.0035071,            0.093763,            0.047471,            0.033561,             0.00802,             0.00802,             0.00802
                  62,            0.094337,            0.060391,            0.028705,            0.017107,             0.68045,             0.11186,            0.027701,            0.090497,            0.044821,            0.029484,            0.007987,            0.007987,            0.007987
                  63,            0.092263,            0.066337,            0.028298,            0.058638,             0.16082,            0.032291,           0.0092536,            0.092724,            0.043539,             0.03018,            0.007954,            0.007954,            0.007954
                  64,            0.094126,            0.059941,            0.028245,            0.058638,             0.16082,            0.032291,           0.0092536,            0.092724,            0.043603,             0.03018,            0.007921,            0.007921,            0.007921
                  65,            0.092698,            0.064266,            0.027701,             0.57108,            0.087719,             0.11764,            0.037319,            0.090127,            0.044363,            0.029362,            0.007888,            0.007888,            0.007888
                  66,            0.090924,            0.056556,            0.027071,             0.47849,            0.066666,            0.081773,            0.030989,            0.091386,            0.044884,            0.028464,            0.007855,            0.007855,            0.007855
                  67,            0.094309,            0.068941,            0.027596,              0.4562,             0.13033,            0.084822,            0.021708,             0.09383,            0.062844,            0.025222,            0.007822,            0.007822,            0.007822
                  68,            0.094177,            0.060254,            0.026817,              0.4562,             0.13033,            0.084822,            0.021708,             0.09383,            0.062772,            0.025222,            0.007789,            0.007789,            0.007789
                  69,            0.093011,            0.054755,            0.026291,             0.16383,              0.2193,             0.10854,            0.029893,            0.092354,            0.062888,             0.02494,            0.007756,            0.007756,            0.007756
